1|1|17|21168.23|0.04
1|2|36|45983.16|0.09
1|3|8|13309.60|0.10
1|4|28|28955.64|0.09
1|5|24|22824.48|0.10
1|6|32|49620.16|0.07
2|1|38|44694.46|0.00
3|1|45|54058.05|0.06
3|2|49|46796.47|0.10
3|3|27|39890.88|0.06
3|4|2|2618.76|0.01
3|5|28|32986.52|0.04
3|6|26|28733.64|0.10
4|1|30|30690.90|0.03
5|1|15|23678.55|0.02
5|2|26|50723.92|0.07
5|3|50|73426.50|0.08
6|1|37|61998.31|0.08
7|1|12|13608.60|0.07
7|2|9|11594.16|0.08
7|3|46|81639.88|0.10
7|4|28|31809.96|0.03
7|5|38|73943.82|0.08
7|6|35|43058.75|0.06
7|7|5|6476.15|0.04
32|1|28|47227.60|0.05
32|2|32|64605.44|0.02
32|3|2|2210.32|0.09
32|4|4|6582.96|0.09
32|5|44|79059.64|0.05
32|6|6|9159.66|0.04
33|1|31|40217.23|0.09
33|2|32|47344.32|0.02
33|3|5|7532.30|0.05
33|4|41|75928.31|0.09
34|1|13|17554.68|0.00
34|2|22|30875.02|0.08
34|3|6|9681.24|0.02
35|1|24|32410.80|0.02
35|2|34|68065.96|0.06
35|3|7|13418.23|0.06
35|4|25|29004.25|0.06
35|5|34|65854.94|0.08
35|6|28|47397.28|0.03
36|1|42|75043.92|0.09
37|1|40|62105.20|0.09
37|2|39|70542.42|0.05
37|3|43|78083.70|0.05
38|1|44|84252.52|0.04
39|1|44|53782.08|0.09
39|2|26|43383.08|0.08
39|3|46|82746.18|0.06
39|4|32|48338.88|0.07
39|5|43|63360.93|0.01
39|6|40|54494.40|0.06
64|1|21|40675.95|0.05
65|1|26|42995.94|0.03
65|2|22|39353.82|0.00
65|3|21|27076.98|0.09
66|1|31|35126.41|0.00
66|2|41|64061.68|0.04
67|1|4|6230.52|0.09
67|2|12|13358.28|0.09
67|3|5|8368.00|0.03
67|4|44|66066.44|0.08
67|5|23|35733.03|0.05
67|6|29|40144.70|0.02
68|1|3|2925.18|0.05
68|2|46|57738.28|0.02
68|3|46|88089.08|0.04
68|4|20|34454.40|0.07
68|5|27|47000.25|0.03
68|6|30|46906.80|0.05
68|7|41|52735.84|0.09
69|1|48|58761.60|0.01
69|2|32|37893.76|0.08
69|3|17|22172.42|0.09
69|4|3|4318.50|0.09
69|5|42|44606.94|0.07
69|6|23|32717.50|0.05
70|1|8|8736.96|0.03
70|2|13|16277.95|0.06
70|3|1|1888.80|0.03
70|4|11|18477.03|0.01
70|5|37|39520.81|0.09
70|6|19|30602.35|0.06
71|1|25|47323.25|0.09
71|2|3|5645.73|0.09
71|3|45|61489.35|0.00
71|4|33|54174.12|0.00
71|5|39|49071.75|0.08
71|6|34|58841.42|0.04
96|1|23|25278.61|0.10
96|2|30|42761.70|0.01
97|1|13|19454.11|0.00
97|2|37|56149.72|0.02
97|3|19|31857.11|0.06
98|1|28|32373.88|0.06
98|2|1|1752.74|0.00
98|3|14|23109.80|0.05
